full_name,email,start_date,position,status,equipment,department
Ivan Shevchenko,ivan.0@example.com,2020-05-19,DevOps Engineer,NEW,Mouse;Keyboard,Sales
Maria Shevchenko,maria.1@example.com,2026-12-02,Designer,NEW,Mouse;Badge,IT
Maria Tkachenko,maria.2@example.com,2023-12-08,DevOps Engineer,ACTIVE,Docking station;Headset,Sales
Yulia Melnyk,yulia.3@example.com,2023-04-24,QA Engineer,ONBOARDING,Headset;Mouse;Badge,IT
Viktoria Tkachenko,viktoria.4@example.com,2026-02-08,Project Manager,ONBOARDING,Keyboard;Badge;Mouse,HR
Anna Boyko,anna.5@example.com,2020-06-13,Data Analyst,NEW,Headset,IT
Igor Bondarenko,igor.6@example.com,2023-08-20,Project Manager,NEW,Mouse;Monitor;Headset,Sales
Viktoria Tkachenko,viktoria.7@example.com,2022-11-26,Project Manager,ACTIVE,Laptop;Mouse,HR
Viktoria Shevchenko,viktoria.8@example.com,2022-12-20,Junior Developer,ONBOARDING,Mouse;Laptop;Headset,Sales
Volodymyr Kovalenko,volodymyr.9@example.com,2025-12-15,Designer,ONBOARDING,Headset;Docking station,Finance
Oleksandr Bondarenko,oleksandr.10@example.com,2024-04-28,Designer,NEW,Headset,Sales
Olena Boyko,olena.11@example.com,2025-06-07,Junior Developer,ONBOARDING,Docking station;Badge;Headset,Operations
Oleksandr Shevchenko,oleksandr.12@example.com,2021-11-07,Data Analyst,ONBOARDING,Docking station;Keyboard;Monitor,IT
Natalia Oliynyk,natalia.13@example.com,2020-11-25,Project Manager,NEW,Monitor;Docking station,Operations
Serhiy Oliynyk,serhiy.14@example.com,2022-05-16,Data Analyst,ONBOARDING,Mouse;Docking station,IT
Dmitro Kovalenko,dmitro.15@example.com,2020-08-11,DevOps Engineer,NEW,Monitor;Badge,Operations
Andriy Oliynyk,andriy.16@example.com,2024-06-21,Project Manager,NEW,Keyboard,HR
Viktoria Melnyk,viktoria.17@example.com,2022-04-19,Junior Developer,NEW,Docking station;Headset;Badge,Sales
Maria Kovalenko,maria.18@example.com,2021-07-13,Designer,ACTIVE,Mouse;Headset,Sales
Dmitro Boyko,dmitro.19@example.com,2022-09-05,QA Engineer,ACTIVE,Keyboard,HR
Serhiy Bondarenko,serhiy.20@example.com,2026-12-16,Data Analyst,ONBOARDING,Keyboard,Sales
Maria Bondarenko,maria.21@example.com,2025-07-16,DevOps Engineer,ONBOARDING,Monitor,Operations
Yulia Shevchenko,yulia.22@example.com,2024-04-01,Project Manager,ONBOARDING,Badge;Headset;Monitor,Sales
Natalia Tkachenko,natalia.23@example.com,2021-05-20,QA Engineer,ACTIVE,Laptop;Badge;Docking station,IT
Maria Tkachenko,maria.24@example.com,2025-09-22,Data Analyst,NEW,Keyboard,Sales
Viktoria Melnyk,viktoria.25@example.com,2025-04-26,Designer,NEW,Laptop;Headset;Monitor,IT
Oleksandr Bondarenko,oleksandr.26@example.com,2022-09-21,Project Manager,ACTIVE,Badge;Mouse,Finance
Natalia Tkachenko,natalia.27@example.com,2026-10-25,Designer,NEW,Badge,HR
Yulia Oliynyk,yulia.28@example.com,2021-02-12,QA Engineer,ACTIVE,Mouse;Headset;Docking station,Finance
Andriy Bondarenko,andriy.29@example.com,2026-03-30,Designer,ONBOARDING,Headset;Laptop;Docking station,IT
Anna Tkachenko,anna.30@example.com,2021-02-07,Junior Developer,ONBOARDING,Keyboard;Badge;Mouse,Sales
Volodymyr Melnyk,volodymyr.31@example.com,2024-10-16,DevOps Engineer,NEW,Keyboard;Mouse;Headset,IT
Olena Tkachenko,olena.32@example.com,2025-11-16,Junior Developer,NEW,Monitor;Docking station;Keyboard,Operations
Anna Bondarenko,anna.33@example.com,2023-12-20,Data Analyst,NEW,Keyboard;Monitor,Finance
Maria Bondarenko,maria.34@example.com,2021-09-20,Data Analyst,NEW,Headset;Badge,Sales
Igor Oliynyk,igor.35@example.com,2023-04-19,Junior Developer,ONBOARDING,Mouse;Keyboard;Laptop,Sales
Yulia Kovalenko,yulia.36@example.com,2021-06-06,QA Engineer,ONBOARDING,Keyboard;Docking station;Mouse,IT
Maria Oliynyk,maria.37@example.com,2026-06-01,Junior Developer,ACTIVE,Monitor;Docking station;Laptop,IT
Anna Oliynyk,anna.38@example.com,2022-05-01,QA Engineer,ACTIVE,Badge;Laptop;Headset,Sales
Igor Boyko,igor.39@example.com,2022-12-15,QA Engineer,NEW,Badge;Laptop;Mouse,Sales
Serhiy Oliynyk,serhiy.40@example.com,2023-05-01,Junior Developer,ACTIVE,Monitor,Operations
Oksana Bondarenko,oksana.41@example.com,2022-06-21,DevOps Engineer,NEW,Mouse,Finance
Maria Bondarenko,maria.42@example.com,2022-11-24,DevOps Engineer,ACTIVE,Keyboard;Laptop;Mouse,IT
Viktoria Boyko,viktoria.43@example.com,2025-09-06,Project Manager,ONBOARDING,Badge;Mouse;Monitor,Sales
Serhiy Bondarenko,serhiy.44@example.com,2025-10-04,Designer,NEW,Docking station,Operations
Volodymyr Bondarenko,volodymyr.45@example.com,2024-12-24,Designer,ACTIVE,Badge;Mouse;Monitor,HR
Volodymyr Melnyk,volodymyr.46@example.com,2021-07-13,Junior Developer,ACTIVE,Monitor;Badge;Laptop,HR
Oleksandr Shevchenko,oleksandr.47@example.com,2025-04-09,Designer,NEW,Badge,Sales
Natalia Shevchenko,natalia.48@example.com,2021-06-20,DevOps Engineer,NEW,Monitor;Laptop;Badge,IT
Natalia Kovalenko,natalia.49@example.com,2021-10-30,Project Manager,ONBOARDING,Monitor;Badge,HR
Yulia Tkachenko,yulia.50@example.com,2021-11-15,Project Manager,ACTIVE,Laptop;Headset,Operations
Natalia Bondarenko,natalia.51@example.com,2020-01-19,Project Manager,ONBOARDING,Laptop,Sales
Natalia Melnyk,natalia.52@example.com,2020-04-07,DevOps Engineer,NEW,Monitor,Sales
Oksana Shevchenko,oksana.53@example.com,2021-03-06,QA Engineer,NEW,Monitor;Docking station;Keyboard,Sales
Oksana Bondarenko,oksana.54@example.com,2025-11-12,QA Engineer,ACTIVE,Laptop,HR
Serhiy Boyko,serhiy.55@example.com,2021-01-30,Data Analyst,ONBOARDING,Badge;Headset,HR
Oksana Kovalenko,oksana.56@example.com,2024-12-26,QA Engineer,ACTIVE,Headset,Finance
Maria Kovalenko,maria.57@example.com,2024-01-14,DevOps Engineer,NEW,Docking station;Mouse;Laptop,Finance
Olena Tkachenko,olena.58@example.com,2022-03-25,DevOps Engineer,ACTIVE,Mouse,HR
Yulia Boyko,yulia.59@example.com,2024-06-27,Data Analyst,ONBOARDING,Laptop;Badge,Finance
Ivan Boyko,ivan.60@example.com,2025-10-02,Designer,NEW,Mouse;Headset,Operations
Anna Kovalenko,anna.61@example.com,2022-10-29,Junior Developer,ACTIVE,Keyboard;Docking station,IT
Dmitro Tkachenko,dmitro.62@example.com,2024-08-16,QA Engineer,NEW,Mouse;Headset;Docking station,Finance
Oleksandr Oliynyk,oleksandr.63@example.com,2021-06-18,Data Analyst,ACTIVE,Badge;Docking station;Headset,Finance
Oleksandr Melnyk,oleksandr.64@example.com,2021-11-21,Designer,ONBOARDING,Mouse;Monitor,Sales
Volodymyr Kovalenko,volodymyr.65@example.com,2024-10-16,DevOps Engineer,ACTIVE,Docking station;Keyboard,HR
Dmitro Boyko,dmitro.66@example.com,2020-06-22,DevOps Engineer,ACTIVE,Docking station;Headset;Laptop,Operations
Dmitro Melnyk,dmitro.67@example.com,2022-04-29,Data Analyst,ONBOARDING,Headset;Mouse;Monitor,IT
Andriy Kovalenko,andriy.68@example.com,2021-09-01,QA Engineer,NEW,Headset;Monitor,Finance
Anna Melnyk,anna.69@example.com,2023-04-21,Project Manager,NEW,Headset;Badge,Finance
Oleksandr Tkachenko,oleksandr.70@example.com,2025-12-08,DevOps Engineer,ACTIVE,Laptop;Docking station;Headset,Sales
Ivan Kovalenko,ivan.71@example.com,2021-09-16,Junior Developer,ONBOARDING,Mouse;Laptop,IT
Oksana Bondarenko,oksana.72@example.com,2024-04-04,DevOps Engineer,ONBOARDING,Docking station;Headset,Finance
Dmitro Oliynyk,dmitro.73@example.com,2021-01-06,DevOps Engineer,ACTIVE,Badge,HR
Oleksandr Melnyk,oleksandr.74@example.com,2025-10-23,Project Manager,ACTIVE,Laptop;Monitor,IT
Natalia Shevchenko,natalia.75@example.com,2022-05-07,Data Analyst,ACTIVE,Laptop;Badge;Keyboard,Operations
Anna Oliynyk,anna.76@example.com,2022-03-18,Designer,NEW,Laptop;Monitor,Finance
Yulia Melnyk,yulia.77@example.com,2020-04-24,Data Analyst,ONBOARDING,Laptop;Docking station,Sales
Viktoria Melnyk,viktoria.78@example.com,2020-06-03,Project Manager,ONBOARDING,Monitor,HR
Oleksandr Shevchenko,oleksandr.79@example.com,2023-04-28,Junior Developer,ONBOARDING,Laptop;Docking station,IT
Maria Boyko,maria.80@example.com,2020-02-15,Junior Developer,NEW,Headset,Operations
Oksana Kovalenko,oksana.81@example.com,2023-04-14,Project Manager,NEW,Docking station;Monitor;Headset,Operations
Yulia Bondarenko,yulia.82@example.com,2022-06-01,QA Engineer,ACTIVE,Monitor,Operations
Natalia Melnyk,natalia.83@example.com,2022-09-13,Project Manager,ACTIVE,Keyboard;Monitor,HR
Dmitro Oliynyk,dmitro.84@example.com,2025-09-13,QA Engineer,NEW,Keyboard;Headset;Laptop,Finance
Serhiy Oliynyk,serhiy.85@example.com,2020-09-08,Designer,NEW,Keyboard;Docking station;Badge,HR
Natalia Boyko,natalia.86@example.com,2022-12-10,Project Manager,ACTIVE,Laptop;Docking station,Sales
Oleksandr Bondarenko,oleksandr.87@example.com,2021-08-07,QA Engineer,ONBOARDING,Laptop;Keyboard;Badge,HR
Dmitro Bondarenko,dmitro.88@example.com,2021-12-12,DevOps Engineer,ONBOARDING,Monitor;Docking station;Mouse,Sales
Andriy Bondarenko,andriy.89@example.com,2025-02-23,Junior Developer,ACTIVE,Headset;Docking station,Operations
Igor Bondarenko,igor.90@example.com,2025-09-27,QA Engineer,ONBOARDING,Laptop;Badge;Monitor,HR
Viktoria Boyko,viktoria.91@example.com,2026-05-02,Project Manager,ACTIVE,Badge,Finance
Volodymyr Kovalenko,volodymyr.92@example.com,2022-07-11,Data Analyst,ACTIVE,Laptop,Operations
Anna Boyko,anna.93@example.com,2021-08-06,QA Engineer,ACTIVE,Monitor;Mouse;Headset,Operations
Natalia Shevchenko,natalia.94@example.com,2022-02-23,Junior Developer,NEW,Mouse,Operations
Andriy Oliynyk,andriy.95@example.com,2023-01-05,Designer,NEW,Monitor;Laptop,Sales
Yulia Shevchenko,yulia.96@example.com,2023-01-02,Designer,ACTIVE,Badge;Laptop,Sales
Oksana Kovalenko,oksana.97@example.com,2023-01-15,QA Engineer,NEW,Headset;Docking station,HR
Igor Tkachenko,igor.98@example.com,2022-08-26,DevOps Engineer,NEW,Keyboard;Badge;Mouse,Finance
Serhiy Boyko,serhiy.99@example.com,2022-05-04,Project Manager,ACTIVE,Keyboard,Finance
Olena Kovalenko,olena.100@example.com,2026-06-30,QA Engineer,ACTIVE,Laptop;Keyboard;Docking station,Sales
Anna Melnyk,anna.101@example.com,2023-10-07,DevOps Engineer,ACTIVE,Headset,Operations
Igor Tkachenko,igor.102@example.com,2022-04-14,DevOps Engineer,NEW,Laptop,HR
Igor Melnyk,igor.103@example.com,2022-04-06,DevOps Engineer,ACTIVE,Badge,HR
Serhiy Kovalenko,serhiy.104@example.com,2020-02-02,Data Analyst,ONBOARDING,Keyboard;Badge;Monitor,Sales
Anna Melnyk,anna.105@example.com,2023-05-17,QA Engineer,ONBOARDING,Docking station;Monitor,Finance
Serhiy Boyko,serhiy.106@example.com,2026-09-19,Data Analyst,ONBOARDING,Badge;Docking station;Mouse,Operations
Andriy Oliynyk,andriy.107@example.com,2022-12-18,Project Manager,ACTIVE,Mouse,IT
Oksana Shevchenko,oksana.108@example.com,2023-06-08,Project Manager,ACTIVE,Keyboard,HR
Viktoria Shevchenko,viktoria.109@example.com,2022-11-24,Junior Developer,NEW,Monitor,HR
Oksana Melnyk,oksana.110@example.com,2020-06-01,DevOps Engineer,ONBOARDING,Docking station;Mouse;Badge,Finance
Oleksandr Shevchenko,oleksandr.111@example.com,2024-01-19,QA Engineer,ACTIVE,Headset;Keyboard;Laptop,Operations
Volodymyr Kovalenko,volodymyr.112@example.com,2021-03-04,QA Engineer,ONBOARDING,Laptop;Mouse,IT
Natalia Oliynyk,natalia.113@example.com,2023-10-06,Designer,ACTIVE,Badge;Laptop,HR
Oksana Kovalenko,oksana.114@example.com,2024-04-07,Data Analyst,ACTIVE,Laptop;Keyboard;Headset,Sales
Volodymyr Kovalenko,volodymyr.115@example.com,2026-02-12,DevOps Engineer,ACTIVE,Badge;Monitor;Mouse,IT
Natalia Kovalenko,natalia.116@example.com,2020-12-31,QA Engineer,NEW,Headset,IT
Igor Bondarenko,igor.117@example.com,2020-06-03,Junior Developer,ONBOARDING,Docking station,IT
Volodymyr Oliynyk,volodymyr.118@example.com,2022-01-10,Data Analyst,ACTIVE,Monitor,Finance
Maria Boyko,maria.119@example.com,2020-05-02,Junior Developer,NEW,Laptop;Headset;Keyboard,Operations
Yulia Shevchenko,yulia.120@example.com,2022-12-06,Junior Developer,ONBOARDING,Badge;Monitor;Mouse,IT
Yulia Melnyk,yulia.121@example.com,2021-02-11,QA Engineer,ACTIVE,Docking station;Laptop;Headset,Sales
Oksana Melnyk,oksana.122@example.com,2021-07-27,QA Engineer,NEW,Laptop;Docking station;Keyboard,Operations
Ivan Tkachenko,ivan.123@example.com,2025-07-16,Designer,ONBOARDING,Laptop;Keyboard;Badge,Sales
Natalia Shevchenko,natalia.124@example.com,2024-03-03,Project Manager,ACTIVE,Mouse;Badge,IT
Oleksandr Boyko,oleksandr.125@example.com,2025-10-31,QA Engineer,NEW,Headset;Mouse;Badge,Sales
Olena Kovalenko,olena.126@example.com,2022-11-12,Junior Developer,NEW,Mouse;Keyboard,Finance
Natalia Boyko,natalia.127@example.com,2024-06-09,Junior Developer,ONBOARDING,Headset;Docking station;Mouse,HR
Oleksandr Melnyk,oleksandr.128@example.com,2020-10-08,DevOps Engineer,ONBOARDING,Monitor,IT
Dmitro Tkachenko,dmitro.129@example.com,2021-09-16,DevOps Engineer,ACTIVE,Docking station,IT
Yulia Kovalenko,yulia.130@example.com,2025-05-16,Project Manager,NEW,Mouse;Keyboard;Badge,Finance
Oleksandr Shevchenko,oleksandr.131@example.com,2021-10-11,Project Manager,NEW,Mouse,IT
Olena Melnyk,olena.132@example.com,2020-06-08,Data Analyst,NEW,Keyboard,Finance
Oksana Melnyk,oksana.133@example.com,2024-10-30,QA Engineer,NEW,Laptop;Keyboard;Headset,Operations
Ivan Bondarenko,ivan.134@example.com,2025-07-25,Junior Developer,NEW,Headset;Monitor,Operations
Yulia Oliynyk,yulia.135@example.com,2023-11-24,Junior Developer,ONBOARDING,Laptop;Docking station,HR
Oleksandr Oliynyk,oleksandr.136@example.com,2021-08-01,Designer,ONBOARDING,Keyboard;Laptop;Docking station,Finance
Oksana Bondarenko,oksana.137@example.com,2025-06-11,QA Engineer,NEW,Keyboard;Monitor,HR
Andriy Shevchenko,andriy.138@example.com,2021-04-15,Designer,NEW,Headset;Monitor,Operations
Andriy Melnyk,andriy.139@example.com,2023-01-03,QA Engineer,NEW,Keyboard;Mouse,Operations
Natalia Melnyk,natalia.140@example.com,2021-01-29,DevOps Engineer,ONBOARDING,Keyboard;Mouse;Docking station,Operations
Volodymyr Bondarenko,volodymyr.141@example.com,2020-03-02,Junior Developer,NEW,Docking station;Laptop,HR
Ivan Melnyk,ivan.142@example.com,2022-03-21,Designer,NEW,Docking station;Monitor;Laptop,Sales
Anna Tkachenko,anna.143@example.com,2024-04-28,Project Manager,ONBOARDING,Mouse;Docking station;Badge,Sales
Yulia Bondarenko,yulia.144@example.com,2026-12-03,Junior Developer,ACTIVE,Mouse;Headset,Operations
Olena Shevchenko,olena.145@example.com,2023-09-27,Designer,ONBOARDING,Laptop,Finance
Igor Shevchenko,igor.146@example.com,2024-05-23,QA Engineer,ONBOARDING,Badge,Finance
Oksana Boyko,oksana.147@example.com,2024-10-30,QA Engineer,ACTIVE,Mouse;Keyboard,Finance
Oksana Melnyk,oksana.148@example.com,2026-09-08,QA Engineer,ACTIVE,Keyboard,Sales
Volodymyr Shevchenko,volodymyr.149@example.com,2023-07-26,QA Engineer,ONBOARDING,Headset,Operations
Oleksandr Shevchenko,oleksandr.150@example.com,2020-05-24,Project Manager,ONBOARDING,Docking station;Mouse,Finance
Igor Oliynyk,igor.151@example.com,2024-09-04,DevOps Engineer,NEW,Docking station;Headset,HR
Maria Boyko,maria.152@example.com,2025-04-05,Designer,NEW,Laptop;Headset;Monitor,Finance
Oleksandr Boyko,oleksandr.153@example.com,2021-12-01,Designer,NEW,Keyboard;Mouse;Docking station,Operations
